Animal_ID,RAWM_D1_Trial 1_Errors,RAWM_D1_Trial 2_Errors,RAWM_D1_Trial 3_Errors,RAWM_D1_Trial 4_Errors,RAWM_D1_Trial 5_Errors,RAWM_D1_Trial 6_Errors,RAWM_D1_Trial1_duration,RAWM_D1_Trial2_duration,RAWM_D1_Trial3_duration,RAWM_D1_Trial4_duration,RAWM_D1_Trial5_duration,RAWM_D1_Trial6_duration,RAWM_D1_Trial1_velocity,RAWM_D1_Trial2_velocity,RAWM_D1_Trial3_velocity,RAWM_D1_Trial4_velocity,RAWM_D1_Trial5_velocity,RAWM_D1_Trial6_velocity,RAWM_D1_Block1_Errors,RAWM_D1_Block1_duration,RAWM_D1_Block1_velocity,RAWM_D1_Block2_Errors,RAWM_D1_Block2_duration,RAWM_D1_Block2_velocity,RAWM_D1_TotAvg_Errors,RAWM_D1_TotAvg_duration,RAWM_D1_TotAvg_velocity
379_42week,8,3,9,3,9,4,40.96,10.48,33.28,36.96,39.32,25.72,17.2095,12.9965,15.9198,10.8543,13.8003,11.9577,6.666666667,28.24,15.37526667,5.333333333,34,12.2041,6,31.12,13.78968333
380_42week,5,7,1,0,2,2,28.8,31.64,4.84,2.2,5.88,7.08,12.6245,16.3118,13.7929,12.5341,12.8586,13.6285,4.333333333,21.76,14.24306667,1.333333333,5.053333333,13.00706667,2.833333333,13.40666667,13.62506667
381_42week,8,3,3,0,2,0,40.4,13.8,9.44,1.12,8.4,4.96,15.6955,17.5378,15.9672,17.5569,16.0703,12.9105,4.666666667,21.21333333,16.40016667,0.666666667,4.826666667,15.51256667,2.666666667,13.02,15.95636667
382_42week,7,9,6,6,6,7,49.2,37.72,20.16,40.92,47.84,36.36,16.3629,15.2992,15.1778,12.8692,12.138,14.219,7.333333333,35.69333333,15.6133,6.333333333,41.70666667,13.0754,6.833333333,38.7,14.34435
383_42week,7,2,2,0,1,2,48.12,7.8,10,1.96,6.56,8.32,15.5401,17.0736,16.1502,15.2025,17.0649,16.7432,3.666666667,21.97333333,16.25463333,1,5.613333333,16.33686667,2.333333333,13.79333333,16.29575
384_42week,9,9,7,4,6,2,42.72,42.24,44.84,21,25.36,19.8,18.2724,16.4685,13.3581,11.3434,11.7404,10.1997,8.333333333,43.26666667,16.033,4,22.05333333,11.0945,6.166666667,32.66,13.56375
385_42week,9,6,8,11,4,9,40.6,35.6,26.8,32.96,29.96,39.2,16.7371,14.2615,14.4122,14.5873,12.3334,14.7834,7.666666667,34.33333333,15.13693333,8,34.04,13.90136667,7.833333333,34.18666667,14.51915
386_42week,6,2,1,0,0,6,46.68,9.36,13.16,4.16,2.2,37.76,12.1427,11.0589,9.39831,7.73569,9.56948,13.1781,3,23.06666667,10.86663667,2,14.70666667,10.16109,2.5,18.88666667,10.51386333
387_42week,7,3,2,0,6,3,46.64,21.2,12.24,8.12,31.64,20.48,15.8761,13.6245,13.2309,12.4321,15.3447,15.322,4,26.69333333,14.24383333,3,20.08,14.36626667,3.5,23.38666667,14.30505
388_42week,3,2,2,2,3,3,14.96,4.08,35.64,30.44,33.76,28.4,13.1232,14.3132,13.4595,13.393,12.966,13.179,2.333333333,18.22666667,13.63196667,2.666666667,30.86666667,13.17933333,2.5,24.54666667,13.40565
